1LO5.BL00160001.pdb	-42.56022	-1230.12683
1LO5.BL00040001.pdb	-41.08388	-1232.81458
1LO5.BL00080001.pdb	-39.45016	-1228.41516
1LO5.BL00070001.pdb	-39.29741	-1220.20459
1LO5.BL00020001.pdb	-38.13726	-1197.56348
1LO5.BL00150001.pdb	-36.33303	-1245.83704
1LO5.BL00060001.pdb	-36.07715	-1198.94971
1LO5.BL00190001.pdb	-35.20757	-1225.67517
1LO5.BL00120001.pdb	-32.00346	-1213.87549
1LO5.BL00130001.pdb	-31.82941	-1237.07410
1LO5.BL00170001.pdb	-31.24419	-1198.65808
1LO5.BL00180001.pdb	-30.83086	-1213.21851
1LO5.BL00200001.pdb	-27.39141	-1221.15259
1LO5.BL00050001.pdb	-25.75986	-1206.70471
1LO5.BL00140001.pdb	-23.00434	-1202.37292
1LO5.BL00010001.pdb	50.12742	-976.00165
1LO5.BL00030001.pdb	75.56677	-775.77069
1LO5.BL00110001.pdb	85.21129	-862.21179
1LO5.BL00090001.pdb	87.08277	-845.82367
1LO5.BL00100001.pdb	130.40997	-1126.18408
